cell_type	subclass	class	family	global
Exc. neuron	Glutamatergic	Glutamatergic	Glutamatergic	Neuron
Astro1	Astrocyte	Astrocyte	Non-neuron	Non-neuron
Microglia	Microglia	CNS macrophage	Non-neuron	Non-neuron
Interneuron	GABAergic	GABAergic	GABAergic	Neuron
Astro2	Astrocyte	Astrocyte	Non-neuron	Non-neuron
Olig1	Oligodendrocyte	Oligodendrocyte	Non-neuron	Non-neuron
Olig2	Oligodendrocyte	Oligodendrocyte	Non-neuron	Non-neuron
OPC	OPC	OPC	Non-neuron	Non-neuron
Endothelial	Endothelial	Vascular	Non-neuron	Non-neuron
Pericyte	Pericyte	Vascular	Non-neuron	Non-neuron
Leptomeningeal	VLMC	Vascular	Non-neuron	Non-neuron
