cell_type	subclass	class	family	global
Mature Oligodendrocyte	Oligodendrocyte	Glia	Non-neuron	Non-neuron
Endothelial Cells	Endothelial	Vascular	Non-neuron	Non-neuron
Astrocyte	Astrocyte	Glia	Non-neuron	Non-neuron
Microglia	Microglia	CNS macrophage	Non-neuron	Non-neuron
Oligodendrocyte Progenitor	OPC	Glia	Non-neuron	Non-neuron
Mural 2	Mural	Mural	Non-neuron	Non-neuron
Mural 1	Mural	Mural	Non-neuron	Non-neuron
Mural 3	Mural	Mural	Non-neuron	Non-neuron
Choroid Plexus	Glia	Glia	Non-neuron	Non-neuron
Macrophage	Macrophage	CNS macrophage	Non-neuron	Non-neuron
Immature Oligodendrocyte	OPC	Glia	Non-neuron	Non-neuron
NPC	Neural stem cell	Neuroglioblast	Neuroglioblast	Neuroglioblast
Fibroblast	Stromal	Stromal	Non-neuron	Non-neuron
Reln+ Neuron	Cajal-Retzius cell	Cajal-Retzius cell	Glutamatergic	Neuron
Ependymal	Ependymal	Glia	Non-neuron	Non-neuron
Unknown	unknown	unknown	unknown	unknown
Neuron	Neuron	Neuron	Neuron	Neuron
